batch_size,learning_rate,dropout_rate,val_accuracy
32,0.0010775189880814534,0.15000000000000002,0.7950000166893005
64,0.0010189094983346974,0.4,0.7799999713897705
128,0.0005962010085136773,0.1,0.7674999833106995
